time (s),altitude (m)
448000.0,402997.41282504704
449000.0,405683.1995394388
450000.0,398815.1356929941
451000.0,390297.34171857964
452000.0,389973.90024924185
453000.0,398213.9098058315
454000.0,405482.04445007443
455000.0,403403.5064524319
456000.0,394364.86317417305
457000.0,388788.38804906514
458000.0,393127.1252816757
459000.0,402348.796628274
460000.0,405804.36840066966
461000.0,399515.0886436384
462000.0,390717.02491942514
463000.0,389575.2040173318
464000.0,397407.393108787
465000.0,405146.87887563463
466000.0,403873.2078528935
467000.0,395047.3430115748
468000.0,388842.8175024148
469000.0,392438.5577670522
470000.0,401662.3370669978
471000.0,405858.74731075205
472000.0,400196.0211791983
473000.0,391187.55501804687
474000.0,389238.383714729
475000.0,396601.92891058885
476000.0,404750.93896333873
477000.0,404290.1469573071
478000.0,395745.65515269246
479000.0,388963.5381723568
480000.0,391789.81948232837
481000.0,400943.40252141654
482000.0,405845.88668636326
483000.0,400852.06803480163
484000.0,391704.63684352674
485000.0,388965.68882614374
486000.0,395803.9091498023
487000.0,404297.69363358896
488000.0,404650.95653422736
489000.0,396453.6498511527
490000.0,389148.7747196974
491000.0,391185.5692411447
492000.0,400197.6053064158
493000.0,405766.13432177156
494000.0,401478.0585082155
495000.0,392263.231802105
496000.0,388758.2051598197
497000.0,395018.89335815515
498000.0,403790.3546022298
499000.0,404952.81355757266
500000.0,397165.60473244824
501000.0,389396.7631219495
502000.0,390630.0140826972
503000.0,399430.14702853095
504000.0,405619.52240102086
505000.0,402068.75626267586
506000.0,392858.82335242815
507000.0,388617.2503299266
508000.0,394253.01369064115
509000.0,403233.10797246825
510000.0,405193.5134289749
511000.0,397875.54165901896
512000.0,389704.2597849127
513000.0,390126.59286755044
514000.0,398647.2619593181
515000.0,405408.19796573464
516000.0,402619.8299159268
517000.0,393485.7399892863
518000.0,388542.55481223855
519000.0,393511.29858108517
520000.0,402630.30019884836
521000.0,405371.3270909339
522000.0,398577.41993886884
523000.0,390068.2625952987
524000.0,389678.6614967864
525000.0,397854.4877581252
526000.0,405133.2192232348
527000.0,403126.48879922926
528000.0,394138.6619866481
529000.0,388534.32511575334
530000.0,392799.2306523686
531000.0,401986.02224162035
532000.0,405484.4098049896
533000.0,399265.79772036057
534000.0,390485.61132917646
535000.0,389289.1106680259
536000.0,397057.57723206934
537000.0,404796.82199337706
538000.0,403585.27831997536
539000.0,394812.5709677851
540000.0,388591.87491243426
541000.0,392121.5427131001
542000.0,401305.47071740497
543000.0,405532.6426979946
544000.0,399935.0870226659
545000.0,390952.0533149084
546000.0,388960.06111768633
547000.0,396262.3387118988
548000.0,404401.59381627105
549000.0,403992.2955230158
550000.0,395501.37055132166
551000.0,388714.0832309956
552000.0,391483.126542083
553000.0,400593.36488318816
554000.0,405514.9709674446
555000.0,400579.85859624017
556000.0,391463.71446154173
557000.0,388693.75365031976
558000.0,395474.66987214517
559000.0,403950.2571902536
560000.0,404343.97468521446
561000.0,396199.20844363514
562000.0,388899.3556136284
563000.0,390888.5752694886
564000.0,399855.2633471992
565000.0,405431.72446819395
566000.0,401194.7687426973
567000.0,392015.9924718002
568000.0,388491.32461822964
569000.0,394699.8633006094
570000.0,403446.2030586079
571000.0,404638.18151148036
572000.0,396900.86052717175
573000.0,389145.6650907332
574000.0,390341.41297468264
575000.0,399096.254216698
576000.0,405283.7193412855
577000.0,401775.48666585144
578000.0,392603.9740452608
579000.0,388353.4659485156
580000.0,393943.73662989214
581000.0,402893.70228533447
582000.0,404872.6543272203
583000.0,397600.2462459672
584000.0,389450.076628943
585000.0,389845.51522925496
586000.0,398322.3459367929
587000.0,405071.9887853563
588000.0,402316.8345354656
589000.0,393222.60093490686
590000.0,388281.0387455914
591000.0,393211.85445829947
592000.0,402296.47657508776
593000.0,405044.9638752686
594000.0,398291.50397779513
595000.0,389810.09563298244
596000.0,389404.46856266353
597000.0,397539.08913116436
598000.0,404797.9171224162
599000.0,402814.3660030812
600000.0,393866.41466346383
601000.0,388273.73045528773
602000.0,392509.2423858391
603000.0,401659.1379679674
604000.0,405154.34002149664
605000.0,398969.1864703633
606000.0,390221.587921503
607000.0,389020.1094363183
608000.0,396751.82058303524
609000.0,404464.1145760026
610000.0,403265.3171971068
611000.0,394530.53083346784
612000.0,388330.41323940456
613000.0,391840.0457078554
614000.0,400986.09743529
615000.0,405199.9569579102
616000.0,399628.40999188554
617000.0,390681.6500708014
618000.0,388695.3131447807
619000.0,395966.1672288971
620000.0,404072.1970314607
621000.0,403665.03917659353
622000.0,395209.209531663
623000.0,388450.7532979455
624000.0,391209.7729497142
625000.0,400282.40230271406
626000.0,405181.05036283564
627000.0,400263.1912550535
628000.0,391185.47862475645
629000.0,388431.6982844742
630000.0,395188.1599872671
631000.0,403626.2030798439
632000.0,404011.38670743816
633000.0,395896.69977162965
634000.0,388632.1859708447
635000.0,390621.8336657565
636000.0,399553.3815215742
